ID,Style,Artwork,Artist,Date,Link
78766,Abstract-Expressionism,Lama,William Turnbull,1961,https://uploads5.wikiart.org/images/william-turnbull/lama-1961.jpg
78767,Abstract-Expressionism,Untitled,Lee Bontecou,1961,https://uploads5.wikiart.org/images/lee-bontecou/untitled-1961.jpg
78768,Abstract-Expressionism,Prison Dream,Mark di Suvero,1961,https://uploads2.wikiart.org/images/mark-di-suvero/prison-dream-1961.jpg
78769,Abstract-Expressionism,Untitled,Giorgio Cavallon,1961,https://uploads0.wikiart.org/images/giorgio-cavallon/untitled-1961.jpg
78770,Abstract-Expressionism,Deshabitados #101,Pedro Coronel,1961,https://uploads5.wikiart.org/images/pedro-coronel/deshabitados-101-1961.jpg
78771,Abstract-Expressionism,Untitled,Adja Yunkers,1961,https://uploads5.wikiart.org/images/adja-yunkers/untitled-1961.jpg
78772,Abstract-Expressionism,Untitled,Lee Bontecou,1961,https://uploads7.wikiart.org/images/lee-bontecou/untitled-1961-1.jpg
78773,Abstract-Expressionism,Sainte-Trinité,Armand Vaillancourt,1961,https://uploads3.wikiart.org/images/armand-vaillancourt/sainte-trinit.jpg
78774,Abstract-Expressionism,Rolling,Adolph Gottlieb,1961,https://uploads7.wikiart.org/images/adolph-gottlieb/rolling-1961.jpg
78775,Abstract-Expressionism,Mist,Adolph Gottlieb,1961,https://uploads4.wikiart.org/images/adolph-gottlieb/mist-1961.jpg
78776,Abstract-Expressionism,0 Through 9,Jasper Johns,1961,https://uploads3.wikiart.org/images/jasper-johns/0-through-9.jpg
78777,Abstract-Expressionism,Poet (1),Robert Motherwell,1961,https://uploads8.wikiart.org/images/robert-motherwell/poet-1-1961.jpg
78778,Abstract-Expressionism,The Gremlins,Norman Lewis,1961,https://uploads8.wikiart.org/00163/images/norman-lewis/lewis-promenade-1961-image-only0.jpg
78779,Abstract-Expressionism,The Gremlins,Norman Lewis,1961,https://uploads6.wikiart.org/00163/images/norman-lewis/lewis-the-gremlins-image-only4.jpg
78780,Abstract-Expressionism,Collage 16 W,Joe Tilson,1961,https://uploads4.wikiart.org/00218/images/joe-tilson/collage-16-w-1961.jpg
78781,Abstract-Expressionism,Huwelijksaankondiging,Anton Heyboer,1961,https://uploads3.wikiart.org/00266/images/anton-heyboer/huwelijksaankondiging-1961.jpg
78782,Abstract-Expressionism,Abstract IV,Behjat Sadr,1961,https://uploads0.wikiart.org/00299/images/behjat-sadr/p73-2000x1429.jpg
78783,Abstract-Expressionism,Athens,Beauford Delaney,1961,https://uploads4.wikiart.org/00315/images/beauford-delaney/athens-1961.jpg
78784,Abstract-Expressionism,Abstraction,Beauford Delaney,1961,https://uploads1.wikiart.org/00315/images/beauford-delaney/abstraction-c1961.jpg
78785,Abstract-Expressionism,Arab,Salvador Dali,1962,https://uploads6.wikiart.org/images/salvador-dali/arab.jpg
78786,Abstract-Expressionism,Ides of March,Cy Twombly,1962,https://uploads3.wikiart.org/images/cy-twombly/ides-of-march.jpg
78787,Abstract-Expressionism,Leda and the Swan,Cy Twombly,1962,https://uploads7.wikiart.org/images/cy-twombly/leda-and-the-swan.jpg
78788,Abstract-Expressionism,Love Poem,Hans Hofmann,1962,https://uploads6.wikiart.org/images/hans-hofmann/love-poem-1962.jpg
78789,Abstract-Expressionism,Sanctum Sanctorum,Hans Hofmann,1962,https://uploads5.wikiart.org/images/hans-hofmann/sanctum-sanctorum-1962.jpg
78790,Abstract-Expressionism,Memoria in Aeternum,Hans Hofmann,1962,https://uploads7.wikiart.org/images/hans-hofmann/memoria-in-aeternum-1962.jpg
78791,Abstract-Expressionism,Veluti in Speculum,Hans Hofmann,1962,https://uploads6.wikiart.org/images/hans-hofmann/veluti-in-speculum-1962.jpg
78792,Abstract-Expressionism,Lucidus Ordo,Hans Hofmann,1962,https://uploads0.wikiart.org/images/hans-hofmann/lucidus-ordo-1962.jpg
78793,Abstract-Expressionism,Blue Balls VIII,Sam Francis,1961-1962,https://uploads2.wikiart.org/images/sam-francis/blue-balls-viii-1962.jpg
78794,Abstract-Expressionism,Blue,Sam Francis,1962,https://uploads0.wikiart.org/images/sam-francis/blue-1962.jpg
78795,Abstract-Expressionism,Blue Balls V,Sam Francis,1962,https://uploads8.wikiart.org/images/sam-francis/blue-balls-v-1962.jpg
